book_date,open,high,low,close,volume,dividends,ticker,average_price,daily_return_percentage,growth,cumulative_growth,volatility_30days,dividend_yield_percentage,52week_high,52week_low,ma50d,ma200d,vwap
2022-10-18,52.75,52.8599,51.9493,52.2319,2498000,0.0,BNS.TO,52.4478,0.5593,1.0056,0.2609,1.4694,0.0777,69.3847,49.6022,55.1759,61.314,49.1967
2022-10-19,51.7452,51.7452,50.5991,50.9367,5895800,0.0,BNS.TO,51.2566,-2.4797,0.9752,0.2296,1.5507,0.0797,69.3847,49.6022,55.0063,61.2435,49.2006
2022-10-20,50.8189,51.2821,50.1596,50.1988,5725700,0.0,BNS.TO,50.6149,-1.4487,0.9855,0.2118,1.5613,0.0809,69.3847,49.6022,54.8244,61.1679,49.2033
2022-10-21,50.1439,51.1329,50.0026,50.9053,2458900,0.0,BNS.TO,50.5462,1.4074,1.0141,0.2289,1.6027,0.0798,69.3847,49.6022,54.6654,61.091,49.2043
2022-10-24,51.235,51.3056,50.6148,50.7483,5709900,0.0,BNS.TO,50.9759,-0.3084,0.9969,0.2251,1.5885,0.08,69.3847,49.6022,54.4777,61.0156,49.2076
2022-10-25,50.505,51.337,50.2616,51.2899,4200700,0.0,BNS.TO,50.8484,1.0672,1.0107,0.2382,1.6102,0.0792,69.3847,49.6022,54.2966,60.9392,49.2098
2022-10-26,51.1957,51.7844,50.9995,51.3292,4043300,0.0,BNS.TO,51.3272,0.0766,1.0008,0.2392,1.601,0.0791,69.3847,49.6022,54.1062,60.8621,49.2126
2022-10-27,51.549,51.8472,51.4077,51.6039,3601800,0.0,BNS.TO,51.602,0.5352,1.0054,0.2459,1.4877,0.0787,69.3847,49.6022,53.9103,60.7885,49.2153
2022-10-28,51.8551,52.279,51.7452,51.9493,2423100,0.0,BNS.TO,51.9572,0.6693,1.0067,0.2542,1.4804,0.0782,69.3847,49.6022,53.7137,60.7133,49.2175
2022-10-31,52.0199,52.2397,51.5882,51.6903,4578500,0.0,BNS.TO,51.8845,-0.4986,0.995,0.248,1.4851,0.0785,69.3847,49.6022,53.5111,60.6373,49.2214
2022-11-01,52.122,52.2554,51.5411,51.8001,2713500,0.0,BNS.TO,51.9296,0.2124,1.0021,0.2506,1.4499,0.0784,69.3847,49.6022,53.309,60.56,49.2238
2022-11-02,51.7295,52.1769,51.3527,51.4469,3265300,0.0,BNS.TO,51.6765,-0.6819,0.9932,0.2421,1.4522,0.0789,69.3847,49.6022,53.1082,60.4806,49.2263
2022-11-03,51.18,51.2899,50.764,50.8739,3351200,0.0,BNS.TO,51.027,-1.1138,0.9889,0.2283,1.3058,0.0798,69.3847,49.6022,52.9031,60.3945,49.2283
2022-11-04,51.2821,51.9179,51.2193,51.6903,3169600,0.0,BNS.TO,51.5274,1.6048,1.016,0.2479,1.2507,0.0785,69.3847,49.6022,52.777,60.3161,49.2306
2022-11-07,51.9257,52.0827,51.5725,51.9807,2358600,0.0,BNS.TO,51.8904,0.5618,1.0056,0.2549,1.2464,0.0781,69.3847,49.6022,52.6799,60.2437,49.2326
2022-11-08,52.0435,52.4988,51.8472,52.1848,1760100,0.0,BNS.TO,52.1436,0.3926,1.0039,0.2598,1.1794,0.0778,69.3847,49.6022,52.5762,60.1725,49.2342
